JANVIER FEJR  DHUHR ASSER MAGHREB ICHA
Jeudi 1 6h28  12h43 14h56 17h17 18h45
Vendredi 2  6h29  12h44 14h57 17h18 18h46
Samedi 3  6h29  12h44 14h57 17h18 18h47
Dimanche 4  6h29  12h45 14h58 17h19 18h48
Lundi 5 6h29  12h45 14h59 17h20 18h48
Mardi 6 6h29  12h46 15h00 17h21 18h49
Mercredi 7  6h29  12h46 15h01 17h22 18h50
Jeudi 8 6h29  12h46 15h02 17h23 18h51
Vendredi 9  6h29  12h47 15h03 17h25 18h52
Samedi 10 6h29  12h47 15h04 17h26 18h53
Dimanche 11 6h28  12h48 15h05 17h27 18h54
Lundi 12  6h28  12h48 15h06 17h28 18h55
Mardi 13  6h28  12h48 15h07 17h29 18h56
Mercredi 14 6h28  12h49 15h08 17h30 18h57
Jeudi 15  6h27  12h49 15h09 17h31 18h58
Vendredi 16 6h27  12h50 15h10 17h33 18h59
Samedi 17 6h27  12h50 15h11 17h34 19h00
Dimanche 18 6h26  12h50 15h12 17h35 19h01
Lundi 19  6h26  12h50 15h13 17h36 19h02
Mardi 20  6h25  12h51 15h14 17h38 19h03
Mercredi 21 6h25  12h51 15h16 17h39 19h05
Jeudi 22  6h24  12h51 15h17 17h40 19h06
Vendredi 23 6h24  12h52 15h18 17h41 19h07
Samedi 24 6h23  12h52 15h19 17h43 19h08
Dimanche 25 6h23  12h52 15h20 17h44 19h09
Lundi 26  6h22  12h52 15h21 17h45 19h10
Mardi 27  6h21  12h52 15h22 17h47 19h11
Mercredi 28 6h20  12h53 15h23 17h48 19h13
Jeudi 29  6h20  12h53 15h24 17h49 19h14
Vendredi 30 6h16  12h53 15h26 17h51 19h15
Samedi 31 6h18  12h53 15h27 17h52 19h16

FÉVRIER FEJR  DHUHR ASSER MAGHREB ICHA
Dimanche 1  6h17  12h53 15h28 17h53 19h17
Lundi 2 6h16  12h53 15h29 17h55 19h18
Mardi 3 6h15  12h54 15h30 17h56 19h20
Mercredi 4  6h14  12h54 15h31 17h57 19h21
Jeudi 5 6h13  12h54 15h32 17h59 19h22
Vendredi 6  6h12  12h54 15h33 18h00 19h23
Samedi 7  6h11  12h54 15h34 18h01 19h24
Dimanche 8  6h10  12h54 15h36 18h03 19h26
