JANVIER FEJR  DHUHR ASSER MAGHREB ICHA
Jeudi 1 6h49  12h55 14h47 17h08 18h47
Vendredi 2  6h49  12h56 14h48 17h09 18h48
Samedi 3  6h49  12h56 14h49 17h10 18h49
Dimanche 4  6h49  12h57 14h50 17h11 18h50
Lundi 5 6h49  12h57 14h51 17h12 18h51
Mardi 6 6h49  12h58 14h52 17h13 18h52
Mercredi 7  6h49  12h58 14h53 17h14 18h53
Jeudi 8 6h49  12h59 14h54 17h15 18h54
Vendredi 9  6h49  12h59 14h55 17h17 18h55
Samedi 10 6h48  12h59 14h56 17h18 18h56
Dimanche 11 6h48  13h00 14h57 17h19 18h58
Lundi 12  6h48  13h00 14h59 17h21 18h59
Mardi 13  6h47  13h01 15h00 17h22 19h00
Mercredi 14 6h47  13h01 15h01 17h23 19h01
Jeudi 15  6h46  13h01 15h02 17h25 19h02
Vendredi 16 6h46  13h02 15h03 17h26 19h03
Samedi 17 6h45  13h02 15h05 17h28 19h05
Dimanche 18 6h45  13h02 15h06 17h29 19h06
Lundi 19  6h44  13h03 15h07 17h31 19h07
Mardi 20  6h44  13h03 15h08 17h32 19h08
Mercredi 21 6h43  13h03 15h10 17h34 19h10
Jeudi 22  6h42  13h03 15h11 17h35 19h11
Vendredi 23 6h41  13h04 15h12 17h37 19h12
Samedi 24 6h41  13h04 15h13 17h38 19h14
Dimanche 25 6h40  13h04 15h15 17h40 19h15
Lundi 26  6h39  13h04 15h16 17h41 19h16
Mardi 27  6h38  13h05 15h17 17h43 19h18
Mercredi 28 6h37  13h05 15h19 17h45 19h19
Jeudi 29  6h36  13h05 15h20 17h46 19h21
Vendredi 30 6h35  13h05 15h21 17h48 19h22
Samedi 31 6h34  13h05 15h23 17h50 19h23

FÉVRIER FEJR  DHUHR ASSER MAGHREB ICHA
Dimanche 1  6h33  13h05 15h24 17h51 19h25
Lundi 2 6h32  13h06 15h25 17h53 19h26
Mardi 3 6h30  13h06 15h27 17h54 19h28
Mercredi 4  6h29  13h06 15h28 17h56 19h29
Jeudi 5 6h28  13h06 15h29 17h58 19h31
Vendredi 6  6h27  13h06 15h31 17h59 19h32
Samedi 7  6h25  13h06 15h32 18h01 19h33
Dimanche 8  6h24  13h06 15h33 18h03 19h35
Lundi 9 6h23  13h06 15h35 18h04 19h36
Mardi 10  6h21  13h06 15h36 18h06 19h38
Mercredi 11 6h20  13h06 15h37 18h08 19h39
Jeudi 12  6h18  13h06 15h39 18h09 19h41
Vendredi 13 6h17  13h06 15h40 18h11 19h42
