JANVIER FEJR  DHUHR ASSER MAGHREB ICHA
Jeudi 1 6h54  13h04 15h04 17h25 19h00
Vendredi 2  6h54  13h04 15h05 17h26 19h01
Samedi 3  6h54  13h04 15h06 17h27 19h01
Dimanche 4  6h54  13h05 15h07 17h28 19h02
Lundi 5 6h54  13h05 15h08 17h29 19h03
Mardi 6 6h54  13h05 15h09 17h30 19h04
Mercredi 7  6h54  13h06 15h10 17h31 19h05
Jeudi 8 6h54  13h06 15h11 17h32 19h06
Vendredi 9  6h53  13h07 15h12 17h34 19h07
Samedi 10 6h53  13h07 15h13 17h35 19h08
Dimanche 11 6h53  13h07 15h14 17h36 19h09
Lundi 12  6h53  13h08 15h15 17h37 19h10
Mardi 13  6h52  13h08 15h16 17h38 19h11
Mercredi 14 6h52  13h09 15h17 17h40 19h13
Jeudi 15  6h52  13h09 15h18 17h41 19h14
Vendredi 16 6h51  13h09 15h20 17h42 19h15
Samedi 17 6h51  13h10 15h21 17h44 19h16
Dimanche 18 6h50  13h10 15h22 17h45 19h17
Lundi 19  6h50  13h10 15h23 17h47 19h18
Mardi 20  6h49  13h11 15h24 17h48 19h20
Mercredi 21 6h49  13h11 15h26 17h49 19h21
Jeudi 22  6h48  13h11 15h27 17h51 19h22
Vendredi 23 6h47  13h12 15h28 17h52 19h23
Samedi 24 6h46  13h12 15h29 17h54 19h24
Dimanche 25 6h46  13h12 15h30 17h55 19h26
Lundi 26  6h45  13h12 15h32 17h57 19h27
Mardi 27  6h44  13h13 15h33 17h58 19h28
Mercredi 28 6h43  13h13 15h34 18h00 19h30
Jeudi 29  6h42  13h13 15h35 18h01 19h31
Vendredi 30 6h41  13h13 15h37 18h03 19h32
Samedi 31 6h40  13h13 15h38 18h04 19h33

FÉVRIER FEJR  DHUHR ASSER MAGHREB ICHA
Dimanche 1  6h39  13h14 15h39 18h06 19h35
Lundi 2 6h38  13h14 15h40 18h07 19h36
Mardi 3 6h37  13h14 15h42 18h09 19h37
Mercredi 4  6h36  13h14 15h43 18h10 19h39
Jeudi 5 6h35  13h14 15h44 18h12 19h40
Vendredi 6  6h34  13h14 15h45 18h13 19h41
Samedi 7  6h33  13h14 15h47 18h15 19h43
Dimanche 8  6h31  13h14 15h48 18h16 19h44
Lundi 9 6h30  13h14 15h49 18h18 19h45
Mardi 10  6h29  13h14 15h50 18h19 19h47
Mercredi 11 6h27  13h14 15h51 18h21 19h48
Jeudi 12  6h26  13h14 15h53 18h22 19h50
Vendredi 13 6h25  13h14 15h54 18h24 19h51
Samedi 14 6h23  13h14 15h55 18h25 19h52
Dimanche 15 6h22  13h14 15h56 18h27 19h54
Lundi 16  6h20  13h14 15h57 18h28 19h55
Mardi 17  6h19  13h14 15h58 18h30 19h56
Mercredi 18 6h18  13h14 15h59 18h31 19h58
Jeudi 19  6h16  13h14 16h01 18h33 19h59
Vendredi 20 6h15  13h14 16h02 18h34 20h00
Samedi 21 6h13  13h14 16h03 18h36 20h02
Dimanche 22 6h11  13h13 16h04 18h37 20h03
Lundi 23  6h10  13h13 16h05 18h39 20h04
Mardi 24  6h08  13h13 16h06 18h40 20h06
Mercredi 25 6h07  13h13 16h07 18h42 20h07
Jeudi 26  6h05  13h13 16h08 18h43 20h08
Vendredi 27 6h03  13h13 16h09 18h45 20h10
Samedi 28 6h02  13h12 16h10 18h46 20h11
Jour 29 6h01  13h12 16h10 18h46 20h11

MARS  FEJR  DHUHR ASSER MAGHREB ICHA
Dimanche 1  6h00  13h12 16h11 18h47 20h12
Lundi 2 5h58  13h12 16h12 18h49 20h14
Mardi 3 5h56  13h12 16h13 18h50 20h15
Mercredi 4  5h55  13h12 16h14 18h52 20h16
Jeudi 5 5h53  13h11 16h15 18h53 20h18
Vendredi 6  5h51  13h11 16h16 18h55 20h19
Samedi 7  5h49  13h11 16h17 18h56 20h20
