JANVIER FEJR  DHUHR ASSER MAGHREB ICHA
Jeudi 1 6h55  13h00 14h50 17h10 18h51
Vendredi 2  6h55  13h01 14h51 17h11 18h52
Samedi 3  6h55  13h01 14h52 17h12 18h53
Dimanche 4  6h55  13h02 14h53 17h13 18h54
Lundi 5 6h55  13h02 14h54 17h15 18h55
Mardi 6 6h55  13h03 14h55 17h16 18h56
Mercredi 7  6h55  13h03 14h56 17h17 18h57
Jeudi 8 6h55  13h04 14h57 17h18 18h58
Vendredi 9  6h54  13h04 14h58 17h19 18h59
Samedi 10 6h54  13h04 14h59 17h21 19h00
Dimanche 11 6h54  13h05 15h00 17h22 19h02
Lundi 12  6h53  13h05 15h01 17h23 19h03
Mardi 13  6h53  13h06 15h03 17h25 19h04
Mercredi 14 6h53  13h06 15h04 17h26 19h05
Jeudi 15  6h52  13h06 15h05 17h28 19h06
Vendredi 16 6h52  13h07 15h06 17h29 19h08
Samedi 17 6h51  13h07 15h07 17h31 19h09
Dimanche 18 6h50  13h07 15h09 17h32 19h10
Lundi 19  6h50  13h08 15h10 17h34 19h11
Mardi 20  6h49  13h08 15h11 17h35 19h13
Mercredi 21 6h48  13h08 15h13 17h37 19h14
Jeudi 22  6h48  13h08 15h14 17h38 19h15
Vendredi 23 6h47  13h09 15h15 17h40 19h17
Samedi 24 6h46  13h09 15h17 17h41 19h18
Dimanche 25 6h45  13h09 15h18 17h43 19h19
Lundi 26  6h44  13h09 15h19 17h45 19h21
Mardi 27  6h43  13h10 15h21 17h46 19h22
Mercredi 28 6h42  13h10 15h22 17h48 19h24
Jeudi 29  6h41  13h10 15h23 17h50 19h25
Vendredi 30 6h40  13h10 15h25 17h51 19h26
Samedi 31 6h39  13h10 15h26 17h53 19h28

FÉVRIER FEJR  DHUHR ASSER MAGHREB ICHA
Dimanche 1  6h38  13h10 15h27 17h55 19h29
Lundi 2 6h37  13h11 15h29 17h56 19h31
Mardi 3 6h36  13h11 15h30 17h58 19h32
Mercredi 4  6h34  13h11 15h31 18h00 19h34
Jeudi 5 6h33  13h11 15h33 18h01 19h35
Vendredi 6  6h32  13h11 15h34 18h03 19h37
Samedi 7  6h30  13h11 15h35 18h05 19h38
Dimanche 8  6h29  13h11 15h37 18h06 19h40
Lundi 9 6h28  13h11 15h38 18h08 19h41
Mardi 10  6h26  13h11 15h39 18h10 19h43
Mercredi 11 6h25  13h11 15h41 18h11 19h44
Jeudi 12  6h23  13h11 15h42 18h13 19h46
Vendredi 13 6h22  13h11 15h43 18h15 19h47
Samedi 14 6h20  13h11 15h45 18h16 19h49
Dimanche 15 6h19  13h11 15h46 18h18 19h50
Lundi 16  6h17  13h11 15h47 18h20 19h52
Mardi 17  6h16  13h11 15h49 18h21 19h53
Mercredi 18 6h14  13h11 15h50 18h23 19h55
Jeudi 19  6h13  13h11 15h51 18h25 19h56
Vendredi 20 6h11  13h11 15h52 18h26 19h57
Samedi 21 6h10  13h10 15h54 18h28 19h59
Dimanche 22 6h08  13h10 15h55 18h30 20h00
Lundi 23  6h07  13h10 15h56 18h31 20h01
Mardi 24  6h05  13h10 15h57 18h33 20h03
Mercredi 25 6h04  13h10 15h59 18h35 20h04
Jeudi 26  6h02  13h10 16h00 18h36 20h05
Vendredi 27 6h00  13h09 16h01 18h38 20h07
Samedi 28 5h59  13h09 16h02 18h40 20h08
Jour 29 5h58  13h09 16h02 18h40 20h08

MARS  FEJR  DHUHR ASSER MAGHREB ICHA
Dimanche 1  5h57  13h09 16h03 18h41 20h09
Lundi 2 5h55  13h09 16h04 18h43 20h10
Mardi 3 5h53  13h09 16h05 18h44 20h12
Mercredi 4  5h52  13h08 16h07 18h46 20h13
Jeudi 5 5h50  13h08 16h08 18h48 20h14
Vendredi 6  5h48  13h08 16h09 18h49 20h16
Samedi 7  5h46  13h08 16h10 18h51 20h17
Dimanche 8  5h44  13h08 16h11 18h52 20h19
Lundi 9 5h42  13h07 16h12 18h54 20h20
Mardi 10  5h40  13h07 16h13 18h56 20h21
Mercredi 11 5h39  13h07 16h14 18h57 20h23
Jeudi 12  5h37  13h07 16h15 18h59 20h24
Vendredi 13 5h35  13h06 16h16 19h00 20h25
Samedi 14 5h33  13h06 16h17 19h02 20h27
Dimanche 15 5h31  13h06 16h18 19h03 20h28
Lundi 16  5h29  13h05 16h19 19h05 20h29
Mardi 17  5h27  13h05 16h20 19h07 20h31
Mercredi 18 5h25  13h05 16h21 19h08 20h32
Jeudi 19  5h23  13h04 16h22 19h10 20h34
Vendredi 20 5h21  13h04 16h23 19h11 20h35
Samedi 21 5h19  13h04 16h24 19h13 20h37
Dimanche 22 5h17  13h04 16h25 19h14 20h38
Lundi 23  5h15  13h03 16h25 19h16 20h39
Mardi 24  5h12  13h03 16h26 19h17 20h41
Mercredi 25 5h10  13h02 16h27 19h19 20h42
Jeudi 26  5h08  13h02 16h28 19h21 20h44
Vendredi 27 5h06  13h02 16h29 19h22 20h45
Samedi 28 5h04  13h01 16h30 19h24 20h47
Dimanche 29 6h02  14h01 17h31 20h25 21h48
Lundi 30  6h00  14h01 17h31 20h27 21h50
Mardi 31  5h57  14h01 17h32 20h28 21h51

AVRIL FEJR  DHUHR ASSER MAGHREB ICHA
Mercredi 1  5h55  14h01 17h33 20h30 21h53
Jeudi 2 5h53  14h00 17h34 20h31 21h54
Vendredi 3  5h51  14h00 17h35 20h33 21h56
Samedi 4  5h49  14h00 17h35 20h34 21h57
Dimanche 5  5h47  13h59 17h36 20h36 21h59
Lundi 6 5h44  13h59 17h37 20h37 22h00
Mardi 7 5h42  13h59 17h38 20h39 22h02
Mercredi 8  5h40  13h59 17h38 20h40 22h04
Jeudi 9 5h38  13h58 17h39 20h42 22h05
Vendredi 10 5h35  13h58 17h40 20h43 22h07
Samedi 11 5h33  13h58 17h40 20h45 22h08
Dimanche 12 5h31  13h57 17h41 20h46 22h10
Lundi 13  5h29  13h57 17h42 20h48 22h12
Mardi 14  5h26  13h57 17h43 20h50 22h13
Mercredi 15 5h24  13h57 17h43 20h51 22h15
Jeudi 16  5h22  13h56 17h44 20h53 22h17
Vendredi 17 5h20  13h56 17h45 20h54 22h18
Samedi 18 5h17  13h56 17h45 20h56 22h20
Dimanche 19 5h15  13h56 17h46 20h57 22h22
Lundi 20  5h13  13h55 17h47 20h59 22h23
Mardi 21  5h11  13h55 17h47 21h00 22h25
Mercredi 22 5h08  13h55 17h48 21h02 22h27
Jeudi 23  5h06  13h55 17h48 21h03 22h29
Vendredi 24 5h04  13h55 17h49 21h05 22h30
Samedi 25 5h02  13h55 17h50 21h06 22h32
Dimanche 26 4h59  13h54 17h50 21h08 22h34
Lundi 27  4h57  13h54 17h51 21h09 22h36
