JANVIER FEJR  DHUHR ASSER MAGHREB ICHA
Jeudi 1 6h27  12h34 14h27 16h47 18h26
Vendredi 2  6h27  12h34 14h28 16h48 18h27
Samedi 3  6h27  12h35 14h29 16h49 18h28
Dimanche 4  6h27  12h35 14h29 16h50 18h29
Lundi 5 6h27  12h36 14h30 16h51 18h30
Mardi 6 6h27  12h36 14h31 16h53 18h31
Mercredi 7  6h27  12h36 14h33 16h54 18h32
Jeudi 8 6h27  12h37 14h34 16h55 18h33
Vendredi 9  6h26  12h37 14h35 16h56 18h34
Samedi 10 6h26  12h38 14h36 16h58 18h35
Dimanche 11 6h26  12h38 14h37 16h59 18h36
Lundi 12  6h26  12h38 14h38 17h00 18h37
Mardi 13  6h25  12h39 14h39 17h01 18h39
Mercredi 14 6h25  12h39 14h40 17h03 18h40
Jeudi 15  6h24  12h40 14h42 17h04 18h41
Vendredi 16 6h24  12h40 14h43 17h06 18h42
Samedi 17 6h23  12h40 14h44 17h07 18h43
Dimanche 18 6h23  12h41 14h45 17h09 18h45
Lundi 19  6h22  12h41 14h46 17h10 18h46
Mardi 20  6h22  12h41 14h48 17h12 18h47
Mercredi 21 6h21  12h41 14h49 17h13 18h48
Jeudi 22  6h20  12h42 14h50 17h15 18h50
Vendredi 23 6h19  12h42 14h52 17h16 18h51
Samedi 24 6h19  12h42 14h53 17h18 18h52
Dimanche 25 6h18  12h43 14h54 17h19 18h54
Lundi 26  6h17  12h43 14h55 17h21 18h55
Mardi 27  6h16  12h43 14h57 17h22 18h56
Mercredi 28 6h15  12h43 14h58 17h24 18h58
Jeudi 29  6h14  12h43 14h59 17h26 18h59
Vendredi 30 6h13  12h43 15h01 17h27 19h01
Samedi 31 6h12  12h44 15h02 17h29 19h02

FÉVRIER FEJR  DHUHR ASSER MAGHREB ICHA
Dimanche 1  6h11  12h44 15h03 17h30 19h03
Lundi 2 6h10  12h44 15h05 17h32 19h05
Mardi 3 6h09  12h44 15h06 17h34 19h06
Mercredi 4  6h07  12h44 15h07 17h35 19h08
Jeudi 5 6h06  12h44 15h09 17h37 19h09
Vendredi 6  6h05  12h44 15h10 17h39 19h10
Samedi 7  6h04  12h44 15h11 17h40 19h12
Dimanche 8  6h02  12h44 15h13 17h42 19h13
Lundi 9 6h01  12h44 15h14 17h43 19h15
Mardi 10  5h59  12h44 15h15 17h45 19h16
Mercredi 11 5h58  13h44 15h16 17h47 19h18
Jeudi 12  5h57  13h44 15h18 17h48 19h19
Vendredi 13 5h55  13h44 15h19 17h50 19h21
Samedi 14 5h54  13h44 15h20 17h52 19h22
Dimanche 15 5h52  13h44 15h22 17h53 19h24
Lundi 16  5h51  13h44 15h23 17h55 19h25
Mardi 17  5h49  13h44 15h24 17h56 19h27
