JANVIER FEJR  DHUHR ASSER MAGHREB ICHA
Jeudi 1 6h45  12h59 15h11 17h31 19h00
Vendredi 2  6h45  13h00 15h11 17h32 19h01
Samedi 3  6h45  13h00 15h12 17h33 19h02
Dimanche 4  6h45  13h00 15h13 17h34 19h03
Lundi 5 6h45  13h01 15h14 17h35 19h04
Mardi 6 6h45  13h01 15h15 17h36 19h05
Mercredi 7  6h45  13h02 15h16 17h37 19h06
Jeudi 8 6h45  13h02 15h17 17h38 19h07
Vendredi 9  6h45  13h03 15h18 17h39 19h07
Samedi 10 6h45  13h03 15h19 17h41 19h08
Dimanche 11 6h45  13h03 15h20 17h42 19h09
Lundi 12  6h44  13h04 15h21 17h43 19h10
Mardi 13  6h44  13h04 15h22 17h44 19h11
Mercredi 14 6h44  13h05 15h23 17h45 19h12
Jeudi 15  6h44  13h05 15h24 17h46 19h14
Vendredi 16 6h43  13h05 15h25 17h48 19h15
Samedi 17 6h43  13h06 15h26 17h49 19h16
Dimanche 18 6h42  13h06 15h27 17h50 19h17
Lundi 19  6h42  13h06 15h28 17h51 19h18
Mardi 20  6h42  13h07 15h29 17h53 19h19
Mercredi 21 6h41  13h07 15h30 17h54 19h20
Jeudi 22  6h40  13h07 15h32 17h55 19h21
Vendredi 23 6h40  13h07 15h33 17h56 19h22
Samedi 24 6h39  13h08 15h34 17h58 19h23
Dimanche 25 6h39  13h08 15h35 17h59 19h25
Lundi 26  6h38  13h08 15h36 18h00 19h26
Mardi 27  6h37  13h08 15h37 18h02 19h27
Mercredi 28 6h36  13h08 15h38 18h03 19h28
Jeudi 29  6h36  13h09 15h40 18h04 19h29
Vendredi 30 6h35  13h09 15h41 18h06 19h30
Samedi 31 6h34  13h09 15h42 18h07 19h32

FÉVRIER FEJR  DHUHR ASSER MAGHREB ICHA
Dimanche 1  6h33  13h09 15h43 18h09 19h33
Lundi 2 6h32  13h09 15h44 18h10 19h34
Mardi 3 6h31  13h09 15h45 18h11 19h35
Mercredi 4  6h30  13h09 15h46 18h13 19h36
Jeudi 5 6h29  13h10 15h47 18h14 19h38
Vendredi 6  6h28  13h10 15h48 18h15 19h39
Samedi 7  6h27  13h10 15h50 18h17 19h40
Dimanche 8  6h26  13h10 15h51 18h18 19h41
Lundi 9 6h25  13h10 15h52 18h19 19h42
Mardi 10  6h24  13h10 15h53 18h21 19h44
Mercredi 11 6h22  13h10 15h54 18h22 19h45
Jeudi 12  6h21  13h10 15h55 18h23 19h46
Vendredi 13 6h20  13h10 15h56 18h25 19h47
Samedi 14 6h19  13h10 15h57 18h26 19h49
Dimanche 15 6h17  13h10 15h58 18h27 19h50
Lundi 16  6h16  13h10 15h59 18h29 19h51
Mardi 17  6h15  13h10 16h00 18h30 19h52
Mercredi 18 6h13  13h09 16h01 18h32 19h53
Jeudi 19  6h12  13h09 16h02 18h33 19h55
Vendredi 20 6h10  13h09 16h03 18h34 19h56
Samedi 21 6h09  13h09 16h04 18h35 19h57
Dimanche 22 6h08  13h09 16h05 18h37 19h58
Lundi 23  6h06  13h09 16h06 18h38 20h00
Mardi 24  6h04  13h09 16h07 18h39 20h01
Mercredi 25 6h03  13h09 16h08 18h41 20h02
Jeudi 26  6h01  13h08 16h09 18h42 20h03
Vendredi 27 6h00  13h08 16h10 18h43 20h05
Samedi 28 5h58  13h08 16h11 18h45 20h06
Jour 29 5h58  13h08 16h11 18h45 20h06

MARS  FEJR  DHUHR ASSER MAGHREB ICHA
Dimanche 1  5h57  13h08 16h11 18h46 20h07
Lundi 2 5h55  13h08 16h12 18h47 20h08
Mardi 3 5h53  13h07 16h13 18h48 20h10
Mercredi 4  5h51  13h07 16h14 18h50 20h11
Jeudi 5 5h50  13h07 16h15 18h51 20h12
Vendredi 6  5h48  13h07 16h16 18h52 20h13
Samedi 7  5h46  13h07 16h16 18h53 20h15
Dimanche 8  5h45  13h06 16h17 18h55 20h16
Lundi 9 5h43  13h06 16h18 18h56 20h17
Mardi 10  5h41  13h06 16h19 18h57 20h18
Mercredi 11 5h39  13h05 16h20 18h58 20h20
Jeudi 12  5h37  13h05 16h20 19h00 20h21
Vendredi 13 5h35  13h05 16h21 19h01 20h22
Samedi 14 5h34  13h05 16h22 19h02 20h24
Dimanche 15 5h32  13h04 16h22 19h03 20h25
Lundi 16  5h30  13h04 16h23 19h05 20h26
Mardi 17  5h28  13h04 16h24 19h06 20h28
Mercredi 18 5h26  13h04 16h25 19h07 20h29
Jeudi 19  5h24  13h03 16h25 19h08 20h30
Vendredi 20 5h22  13h03 16h26 19h09 20h31
Samedi 21 5h20  13h03 16h26 19h11 20h33
Dimanche 22 5h18  13h02 16h27 19h12 20h34
